,oktmo,region_name,value_2014,value_2015,value_2016,value_2017,value_2018,in_program
0,1601402,Алтайскийкрай,21,25,19,18,12,True
1,1601408,Алтайскийкрай,9,10,9,10,10,False
2,1601413,Алтайскийкрай,8,6,4,6,2,False
3,1601417,Алтайскийкрай,21,4,3,7,12,False
4,1601420,Алтайскийкрай,12,18,14,12,17,False
5,1601423,Алтайскийкрай,8,7,11,8,10,False
6,1601426,Алтайскийкрай,19,12,11,11,11,False
7,1601432,Алтайскийкрай,21,16,11,11,12,False
8,1601438,Алтайскийкрай,9,11,12,7,4,False
9,1601440,Алтайскийкрай,11,1,3,4,1,False
10,1601460,Алтайскийкрай,4,3,2,3,2,False
11,1601464,Алтайскийкрай,10,11,13,7,11,False
12,1601468,Алтайскийкрай,12,8,13,9,7,False
13,1601473,Алтайскийкрай,4,5,5,5,6,False
14,1601475,Алтайскийкрай,5,6,2,4,2,False
15,1601477,Алтайскийкрай,19,8,22,11,8,False
16,1601485,Алтайскийкрай,10,10,6,3,8,False
17,1601496,Алтайскийкрай,7,12,10,4,6,False
18,1601498,Алтайскийкрай,11,6,7,3,6,False
19,1602405,Алтайскийкрай,53,42,48,36,28,False
20,1602407,Алтайскийкрай,175,200,193,166,136,False
21,1602412,Алтайскийкрай,7,5,11,8,15,True
22,1602423,Алтайскийкрай,11,15,8,6,5,False
23,1602427,Алтайскийкрай,16,9,16,6,7,False
24,1602435,Алтайскийкрай,11,9,5,6,7,False
25,1602446,Алтайскийкрай,39,29,29,31,27,False
26,1602457,Алтайскийкрай,27,22,20,16,18,False
27,1602468,Алтайскийкрай,18,9,6,5,11,False
28,1602479,Алтайскийкрай,24,22,17,11,16,False
29,1603407,Алтайскийкрай,57,62,65,32,59,False
30,1603416,Алтайскийкрай,9,9,7,9,4,False
31,1603419,Алтайскийкрай,13,14,7,6,5,False
32,1603434,Алтайскийкрай,4,1,1,,,False
33,1603437,Алтайскийкрай,18,18,18,15,14,True
34,1603455,Алтайскийкрай,6,4,3,5,4,False
35,1603458,Алтайскийкрай,6,12,6,11,11,False
36,1603469,Алтайскийкрай,3,6,7,7,4,False
37,1603480,Алтайскийкрай,8,12,6,5,4,False
38,1604410,Алтайскийкрай,12,12,16,19,11,False
39,1604415,Алтайскийкрай,23,13,13,11,12,False
40,1604417,Алтайскийкрай,39,51,47,25,29,False
41,1604422,Алтайскийкрай,19,27,29,21,15,False
42,1604424,Алтайскийкрай,14,19,28,22,8,False
43,1604434,Алтайскийкрай,18,13,5,11,11,False
44,1604437,Алтайскийкрай,26,22,20,20,14,False
45,1604455,Алтайскийкрай,31,33,45,23,18,False
46,1604459,Алтайскийкрай,57,35,50,53,36,False
47,1604464,Алтайскийкрай,18,11,19,17,19,False
48,1604470,Алтайскийкрай,101,88,85,93,74,False
49,1604480,Алтайскийкрай,28,34,20,28,21,False
50,1604483,Алтайскийкрай,43,33,25,39,27,False
51,1604488,Алтайскийкрай,27,18,12,21,19,False
52,1604495,Алтайскийкрай,23,14,15,19,12,False
53,1605406,Алтайскийкрай,5,4,9,8,8,False
54,1605420,Алтайскийкрай,27,9,21,22,13,False
55,1605436,Алтайскийкрай,44,28,28,28,25,False
56,1605447,Алтайскийкрай,6,5,8,6,6,False
57,1605452,Алтайскийкрай,18,14,13,17,19,False
58,1605456,Алтайскийкрай,21,19,14,10,7,False
59,1605458,Алтайскийкрай,9,8,12,9,9,False
60,1605461,Алтайскийкрай,12,9,17,11,9,False
61,1605483,Алтайскийкрай,13,22,13,14,10,False
62,1605494,Алтайскийкрай,7,11,10,9,5,False
63,1606411,Алтайскийкрай,52,47,42,34,30,False
64,1606422,Алтайскийкрай,19,15,13,13,9,False
65,1606430,Алтайскийкрай,1,6,3,2,2,False
66,1606433,Алтайскийкрай,20,9,8,6,13,False
67,1606444,Алтайскийкрай,6,5,9,6,7,False
68,1606455,Алтайскийкрай,10,3,8,8,7,False
69,1606466,Алтайскийкрай,18,13,13,10,8,False
70,1606470,Алтайскийкрай,8,4,2,9,7,False
71,1606477,Алтайскийкрай,17,17,12,11,9,True
72,1607403,Алтайскийкрай,10,8,4,13,5,False
73,1607405,Алтайскийкрай,49,33,36,44,33,False
74,1607411,Алтайскийкрай,21,18,10,7,12,False
75,1607422,Алтайскийкрай,7,4,4,5,3,False
76,1607433,Алтайскийкрай,14,14,6,8,8,True
77,1607437,Алтайскийкрай,12,4,13,12,6,False
78,1607444,Алтайскийкрай,6,1,1,2,1,False
79,1607455,Алтайскийкрай,28,15,9,16,10,False
80,1608410,Алтайскийкрай,12,5,5,6,3,False
81,1608414,Алтайскийкрай,12,6,14,9,9,False
82,1608421,Алтайскийкрай,151,130,143,128,121,False
83,1608423,Алтайскийкрай,21,18,18,8,16,False
84,1608430,Алтайскийкрай,7,2,6,3,4,False
85,1608434,Алтайскийкрай,11,9,14,7,16,False
86,1608445,Алтайскийкрай,8,3,6,2,3,False
87,1608456,Алтайскийкрай,5,6,5,5,1,False
88,1608467,Алтайскийкрай,10,8,13,10,7,False
89,1608478,Алтайскийкрай,12,14,11,8,10,False
90,1608489,Алтайскийкрай,7,16,12,11,4,False
91,1609411,Алтайскийкрай,5,5,5,3,3,False
92,1609422,Алтайскийкрай,26,17,26,23,20,False
93,1609428,Алтайскийкрай,7,5,7,3,3,False
94,1609433,Алтайскийкрай,86,80,58,60,63,False
95,1609444,Алтайскийкрай,17,14,15,14,9,False
96,1609455,Алтайскийкрай,26,25,16,19,18,False
97,1609466,Алтайскийкрай,8,8,3,3,6,False
98,1609490,Алтайскийкрай,4,1,6,4,3,False
99,1610411,Алтайскийкрай,2,1,3,3,,False
100,1610422,Алтайскийкрай,36,48,32,34,23,False
101,1610433,Алтайскийкрай,15,19,13,12,10,False
102,1610444,Алтайскийкрай,5,3,3,1,3,False
103,1610466,Алтайскийкрай,10,8,6,8,5,False
104,1610488,Алтайскийкрай,2,1,3,2,3,False
105,1611411,Алтайскийкрай,14,7,8,10,9,False
106,1611416,Алтайскийкрай,18,18,19,13,10,False
107,1611423,Алтайскийкрай,31,19,20,19,18,False
108,1611434,Алтайскийкрай,95,84,90,69,73,False
109,1611445,Алтайскийкрай,7,5,13,7,5,False
110,1611456,Алтайскийкрай,17,6,13,11,7,False
111,1611467,Алтайскийкрай,8,13,8,11,5,True
112,1611469,Алтайскийкрай,8,5,5,4,3,False
113,1611470,Алтайскийкрай,6,1,5,2,7,False
114,1611478,Алтайскийкрай,9,10,4,6,3,False
115,1611486,Алтайскийкрай,9,4,2,2,2,False
116,1611489,Алтайскийкрай,21,15,15,13,14,False
117,1612409,Алтайскийкрай,6,7,11,11,4,False
118,1612412,Алтайскийкрай,13,8,8,10,8,False
119,1612422,Алтайскийкрай,7,6,8,4,1,False
120,1612426,Алтайскийкрай,118,105,83,98,95,False
121,1612437,Алтайскийкрай,7,7,9,6,5,False
122,1612459,Алтайскийкрай,13,12,10,9,3,False
123,1612470,Алтайскийкрай,8,9,2,7,5,False
124,1612481,Алтайскийкрай,16,15,16,14,13,False
125,1612492,Алтайскийкрай,12,10,12,9,8,False
126,1613406,Алтайскийкрай,7,10,6,3,2,False
127,1613420,Алтайскийкрай,8,8,10,3,3,False
128,1613425,Алтайскийкрай,10,4,4,4,10,False
129,1613428,Алтайскийкрай,16,17,16,14,10,True
130,1613430,Алтайскийкрай,20,7,14,6,11,False
131,1613434,Алтайскийкрай,5,5,6,1,5,False
132,1613436,Алтайскийкрай,12,11,7,13,7,True
133,1613438,Алтайскийкрай,12,6,4,1,1,False
134,1613450,Алтайскийкрай,8,4,6,6,7,False
135,1613460,Алтайскийкрай,17,19,11,10,12,False
136,1613461,Алтайскийкрай,12,5,8,7,5,False
137,1613464,Алтайскийкрай,15,11,7,6,9,False
138,1613468,Алтайскийкрай,19,11,11,13,13,True
139,1613474,Алтайскийкрай,22,9,20,13,10,False
140,1613478,Алтайскийкрай,8,7,9,3,4,False
141,1613487,Алтайскийкрай,16,7,8,10,7,False
142,1613488,Алтайскийкрай,32,19,18,19,18,False
143,1613492,Алтайскийкрай,14,12,4,7,3,False
144,1613494,Алтайскийкрай,14,14,4,9,4,False
145,1613496,Алтайскийкрай,13,8,4,5,4,False
146,1614422,Алтайскийкрай,26,25,23,28,8,False
147,1614433,Алтайскийкрай,29,17,25,20,20,False
148,1614444,Алтайскийкрай,13,6,11,6,8,False
149,1614450,Алтайскийкрай,1,2,2,2,2,False
150,1614455,Алтайскийкрай,10,9,15,11,13,False
151,1614466,Алтайскийкрай,18,21,6,8,10,False
152,1614477,Алтайскийкрай,11,12,12,10,7,False
153,1614488,Алтайскийкрай,13,19,10,14,16,False
154,1615409,Алтайскийкрай,11,12,16,8,10,False
155,1615414,Алтайскийкрай,11,15,13,17,12,False
156,1615425,Алтайскийкрай,3,4,7,5,7,False
157,1615427,Алтайскийкрай,52,55,60,49,55,False
158,1615435,Алтайскийкрай,8,8,8,12,6,False
159,1615450,Алтайскийкрай,10,10,9,10,9,False
160,1615457,Алтайскийкрай,50,47,41,31,45,False
161,1615468,Алтайскийкрай,18,9,19,6,6,False
162,1615480,Алтайскийкрай,9,5,3,4,7,False
163,1615485,Алтайскийкрай,13,9,11,3,8,False
164,1616404,Алтайскийкрай,14,14,10,14,8,True
165,1616413,Алтайскийкрай,5,5,7,3,1,False
166,1616417,Алтайскийкрай,15,12,4,15,8,False
167,1616437,Алтайскийкрай,17,10,13,12,10,False
168,1616461,Алтайскийкрай,7,10,15,15,9,False
169,1616468,Алтайскийкрай,12,11,5,5,12,False
170,1616473,Алтайскийкрай,18,7,9,9,8,False
171,1616475,Алтайскийкрай,12,8,5,9,3,False
172,1616482,Алтайскийкрай,8,12,11,7,4,False
173,1616486,Алтайскийкрай,14,16,10,9,12,False
174,1616490,Алтайскийкрай,2,2,7,6,3,False
175,1616494,Алтайскийкрай,8,7,14,5,4,False
176,1616497,Алтайскийкрай,5,4,3,2,2,False
177,1617406,Алтайскийкрай,15,17,10,8,8,False
178,1617412,Алтайскийкрай,5,6,8,9,8,False
179,1617415,Алтайскийкрай,5,4,5,6,3,False
180,1617420,Алтайскийкрай,10,8,6,3,3,False
181,1617424,Алтайскийкрай,133,104,94,70,94,False
182,1617430,Алтайскийкрай,3,3,,,,False
183,1617435,Алтайскийкрай,10,9,7,2,5,False
184,1617437,Алтайскийкрай,15,21,7,11,9,False
185,1617446,Алтайскийкрай,8,11,3,4,6,False
186,1617468,Алтайскийкрай,4,3,5,4,7,True
187,1617479,Алтайскийкрай,30,14,9,6,15,False
188,1618406,Алтайскийкрай,25,16,12,9,12,False
189,1618414,Алтайскийкрай,7,6,7,4,2,False
190,1618420,Алтайскийкрай,10,10,4,7,10,False
191,1618425,Алтайскийкрай,15,6,5,5,4,False
192,1618430,Алтайскийкрай,30,21,18,30,17,False
193,1618434,Алтайскийкрай,71,73,84,59,70,False
194,1618440,Алтайскийкрай,15,13,15,12,5,False
195,1618449,Алтайскийкрай,11,12,10,9,4,False
196,1618460,Алтайскийкрай,56,73,56,41,39,False
197,1618466,Алтайскийкрай,4,7,6,5,6,False
198,1618468,Алтайскийкрай,16,8,11,13,10,False
199,1619405,Алтайскийкрай,16,18,12,8,16,False
200,1619407,Алтайскийкрай,34,21,20,27,28,False
201,1619423,Алтайскийкрай,81,89,64,79,69,False
202,1619445,Алтайскийкрай,10,11,14,15,13,False
203,1619447,Алтайскийкрай,6,2,8,8,6,False
204,1619456,Алтайскийкрай,11,11,9,13,14,False
205,1619478,Алтайскийкрай,23,22,19,29,18,False
206,1619489,Алтайскийкрай,17,12,9,12,10,False
207,1620406,Алтайскийкрай,4,6,6,3,4,False
208,1620412,Алтайскийкрай,9,10,13,9,10,False
209,1620417,Алтайскийкрай,13,15,18,9,9,False
210,1620424,Алтайскийкрай,12,14,10,7,12,False
211,1620430,Алтайскийкрай,63,59,67,51,48,False
212,1620436,Алтайскийкрай,8,4,4,,,False
213,1620442,Алтайскийкрай,20,15,22,12,23,False
214,1620448,Алтайскийкрай,12,5,15,13,8,False
215,1620459,Алтайскийкрай,10,4,7,7,6,False
216,1620468,Алтайскийкрай,3,8,1,1,2,False
217,1620470,Алтайскийкрай,7,6,9,2,8,True
218,1620472,Алтайскийкрай,4,2,2,1,8,False
219,1620481,Алтайскийкрай,17,14,7,12,10,False
220,1620492,Алтайскийкрай,6,5,10,8,6,False
221,1621406,Алтайскийкрай,7,8,8,12,8,False
222,1621412,Алтайскийкрай,19,9,6,12,11,False
223,1621418,Алтайскийкрай,14,9,11,10,14,False
224,1621424,Алтайскийкрай,16,19,8,8,8,False
225,1621430,Алтайскийкрай,60,40,49,41,33,False
226,1621436,Алтайскийкрай,7,6,5,6,2,False
227,1621442,Алтайскийкрай,10,2,10,6,3,False
228,1621446,Алтайскийкрай,8,12,4,8,3,False
229,1621448,Алтайскийкрай,11,9,10,9,5,False
230,1622411,Алтайскийкрай,5,5,8,3,7,False
231,1622433,Алтайскийкрай,9,4,6,3,4,False
232,1622444,Алтайскийкрай,8,9,8,4,8,False
233,1622455,Алтайскийкрай,20,12,9,7,8,False
234,1622460,Алтайскийкрай,201,169,186,171,149,False
235,1622466,Алтайскийкрай,18,15,19,15,7,False
236,1622472,Алтайскийкрай,10,9,10,8,7,False
237,1622477,Алтайскийкрай,28,18,14,10,15,False
238,1622488,Алтайскийкрай,14,6,9,10,6,False
239,1623411,Алтайскийкрай,1,2,2,1,1,False
240,1623422,Алтайскийкрай,13,13,8,10,4,False
241,1623433,Алтайскийкрай,8,6,1,6,4,False
242,1623438,Алтайскийкрай,14,15,8,18,19,False
243,1623444,Алтайскийкрай,19,14,14,10,13,False
244,1623455,Алтайскийкрай,9,2,4,2,6,False
245,1623466,Алтайскийкрай,46,43,50,50,38,False
246,1623468,Алтайскийкрай,6,3,5,6,2,False
247,1623477,Алтайскийкрай,10,3,10,3,3,False
248,1623488,Алтайскийкрай,14,6,8,6,6,False
249,1624407,Алтайскийкрай,24,10,11,10,8,False
250,1624423,Алтайскийкрай,67,59,80,52,44,False
251,1624434,Алтайскийкрай,8,4,4,6,4,False
252,1624446,Алтайскийкрай,10,8,5,6,4,False
253,1624457,Алтайскийкрай,18,14,20,14,20,False
254,1624469,Алтайскийкрай,5,3,7,8,4,False
255,1624480,Алтайскийкрай,10,5,8,10,12,False
256,1624491,Алтайскийкрай,5,6,7,8,4,False
257,1624493,Алтайскийкрай,25,19,14,15,14,False
258,1624494,Алтайскийкрай,5,12,5,3,5,False
259,1625404,Алтайскийкрай,2,2,2,7,4,False
260,1625409,Алтайскийкрай,7,6,10,5,9,False
261,1625413,Алтайскийкрай,13,5,12,6,6,False
262,1625417,Алтайскийкрай,14,7,7,8,10,False
263,1625419,Алтайскийкрай,2,2,1,1,1,False
264,1625421,Алтайскийкрай,9,6,11,6,9,False
265,1625426,Алтайскийкрай,18,6,9,17,10,False
266,1625434,Алтайскийкрай,18,13,11,16,12,False
267,1625440,Алтайскийкрай,17,10,15,10,13,False
268,1625449,Алтайскийкрай,4,4,3,7,5,False
269,1625456,Алтайскийкрай,5,8,4,3,1,False
270,1625459,Алтайскийкрай,11,6,14,3,9,False
271,1625466,Алтайскийкрай,11,8,2,11,10,False
272,1625473,Алтайскийкрай,10,8,14,5,1,False
273,1625476,Алтайскийкрай,7,4,11,6,7,False
274,1625484,Алтайскийкрай,18,15,11,11,9,False
275,1625495,Алтайскийкрай,10,7,5,8,4,True
276,1626406,Алтайскийкрай,18,12,11,16,14,False
277,1626412,Алтайскийкрай,11,18,2,5,3,False
278,1626417,Алтайскийкрай,3,3,,,,False
279,1626424,Алтайскийкрай,9,11,5,4,7,False
280,1626429,Алтайскийкрай,12,7,18,12,7,False
281,1626434,Алтайскийкрай,13,10,13,16,3,False
282,1626437,Алтайскийкрай,22,16,22,9,13,False
283,1626442,Алтайскийкрай,12,13,11,8,5,False
284,1626449,Алтайскийкрай,135,105,124,103,101,False
285,1626460,Алтайскийкрай,21,18,15,12,11,False
286,1626468,Алтайскийкрай,12,7,10,3,6,False
287,1626473,Алтайскийкрай,6,5,6,5,2,False
288,1626478,Алтайскийкрай,9,12,4,8,4,False
289,1626492,Алтайскийкрай,17,7,6,7,8,False
290,1627405,Алтайскийкрай,4,2,4,4,6,False
291,1627411,Алтайскийкрай,12,5,8,6,6,False
292,1627416,Алтайскийкрай,138,145,136,104,103,False
293,1627420,Алтайскийкрай,5,5,9,3,7,False
294,1627422,Алтайскийкрай,16,11,14,15,11,False
295,1627433,Алтайскийкрай,11,12,7,5,7,False
296,1627444,Алтайскийкрай,26,26,26,21,28,False
297,1628411,Алтайскийкрай,7,4,3,3,3,False
298,1628422,Алтайскийкрай,3,9,2,7,2,False
299,1628433,Алтайскийкрай,9,8,8,7,8,False
300,1628444,Алтайскийкрай,82,62,48,55,53,False
301,1628455,Алтайскийкрай,9,6,2,11,5,False
302,1628466,Алтайскийкрай,18,23,19,18,20,False
303,1628477,Алтайскийкрай,5,2,10,4,7,False
304,1629412,Алтайскийкрай,39,41,42,29,25,False
305,1629426,Алтайскийкрай,55,51,44,45,40,False
306,1629442,Алтайскийкрай,20,14,15,10,10,False
307,1629466,Алтайскийкрай,34,22,31,34,30,True
308,1629470,Алтайскийкрай,20,18,12,11,15,False
309,1629474,Алтайскийкрай,32,19,25,20,20,False
310,1629480,Алтайскийкрай,57,50,44,44,47,False
311,1629493,Алтайскийкрай,21,18,21,16,12,False
312,1629496,Алтайскийкрай,19,18,15,14,9,False
313,1630401,Алтайскийкрай,29,14,15,13,12,False
314,1630403,Алтайскийкрай,12,10,12,12,8,False
315,1630412,Алтайскийкрай,7,5,7,4,5,False
316,1630432,Алтайскийкрай,35,36,26,24,20,False
317,1630437,Алтайскийкрай,54,40,45,30,29,False
318,1630449,Алтайскийкрай,15,22,10,9,13,False
319,1630455,Алтайскийкрай,33,37,44,34,32,False
320,1630460,Алтайскийкрай,215,191,183,168,162,False
321,1630462,Алтайскийкрай,22,12,18,13,15,False
322,1630464,Алтайскийкрай,41,26,39,25,20,False
323,1630466,Алтайскийкрай,16,16,13,11,8,False
324,1630473,Алтайскийкрай,14,23,19,19,18,False
325,1630482,Алтайскийкрай,72,40,58,49,38,False
326,1630485,Алтайскийкрай,10,13,13,7,16,False
327,1630490,Алтайскийкрай,26,24,22,26,16,False
328,1631411,Алтайскийкрай,15,9,4,9,6,True
329,1631417,Алтайскийкрай,16,7,6,9,4,False
330,1631422,Алтайскийкрай,17,10,14,13,9,False
331,1631433,Алтайскийкрай,8,5,8,5,6,False
332,1631444,Алтайскийкрай,15,13,11,9,10,False
333,1631456,Алтайскийкрай,51,63,53,52,61,False
334,1631467,Алтайскийкрай,19,15,27,20,21,False
335,1631478,Алтайскийкрай,5,4,7,3,7,False
336,1631489,Алтайскийкрай,3,9,2,7,8,False
337,1632406,Алтайскийкрай,18,15,9,7,5,False
338,1632412,Алтайскийкрай,23,22,23,14,15,False
339,1632416,Алтайскийкрай,112,96,78,60,73,False
340,1632420,Алтайскийкрай,55,55,44,45,38,True
341,1632422,Алтайскийкрай,91,94,100,82,77,False
342,1632425,Алтайскийкрай,20,22,11,12,9,False
343,1632430,Алтайскийкрай,19,10,11,6,6,False
344,1632434,Алтайскийкрай,72,51,56,50,47,False
345,1632442,Алтайскийкрай,22,24,19,22,10,False
346,1632445,Алтайскийкрай,8,5,10,1,6,False
347,1632449,Алтайскийкрай,73,73,58,53,57,False
348,1632454,Алтайскийкрай,51,41,48,50,34,False
349,1632461,Алтайскийкрай,6,9,4,5,4,False
350,1632472,Алтайскийкрай,54,54,52,45,52,False
351,1632483,Алтайскийкрай,28,26,29,21,22,False
352,1632494,Алтайскийкрай,50,38,30,33,32,False
353,1632496,Алтайскийкрай,6,5,5,2,5,False
354,1632497,Алтайскийкрай,21,13,15,16,11,False
355,1633405,Алтайскийкрай,21,18,14,21,11,False
356,1633407,Алтайскийкрай,21,25,10,15,7,False
357,1633414,Алтайскийкрай,40,32,19,30,16,False
358,1633423,Алтайскийкрай,22,18,17,18,9,False
359,1633434,Алтайскийкрай,20,13,19,16,15,False
360,1633440,Алтайскийкрай,7,9,7,3,8,False
361,1633446,Алтайскийкрай,14,15,14,8,17,False
362,1633457,Алтайскийкрай,25,47,36,27,27,False
363,1633479,Алтайскийкрай,13,8,9,6,6,True
364,1634408,Алтайскийкрай,15,11,9,18,8,False
365,1634422,Алтайскийкрай,7,9,6,8,9,False
366,1634433,Алтайскийкрай,18,12,8,14,12,False
367,1634439,Алтайскийкрай,21,19,17,14,10,False
368,1634445,Алтайскийкрай,19,14,12,12,10,False
369,1634450,Алтайскийкрай,12,4,11,11,9,True
370,1634467,Алтайскийкрай,34,21,23,18,12,False
371,1634478,Алтайскийкрай,27,18,21,19,14,False
372,1634482,Алтайскийкрай,7,5,8,7,12,False
373,1634489,Алтайскийкрай,16,14,18,21,13,False
374,1634495,Алтайскийкрай,181,170,131,121,122,False
375,1635407,Алтайскийкрай,30,22,11,17,18,False
376,1635412,Алтайскийкрай,9,3,4,2,5,False
377,1635419,Алтайскийкрай,13,8,12,8,9,False
378,1635424,Алтайскийкрай,4,4,,,,False
379,1635430,Алтайскийкрай,10,16,9,11,11,False
380,1635436,Алтайскийкрай,14,11,8,3,5,False
381,1635442,Алтайскийкрай,15,10,12,12,5,False
382,1635448,Алтайскийкрай,7,3,3,,,False
383,1635456,Алтайскийкрай,16,17,14,7,12,False
384,1635458,Алтайскийкрай,8,3,3,2,1,False
385,1635459,Алтайскийкрай,9,11,7,7,6,False
386,1635464,Алтайскийкрай,96,114,106,93,102,False
387,1635470,Алтайскийкрай,15,9,13,10,2,False
388,1635476,Алтайскийкрай,31,22,20,23,16,False
389,1635479,Алтайскийкрай,18,18,16,12,19,False
390,1635484,Алтайскийкрай,7,5,5,,,False
391,1635495,Алтайскийкрай,5,10,9,4,4,False
392,1636410,Алтайскийкрай,18,13,6,10,4,False
393,1636422,Алтайскийкрай,10,5,6,7,3,False
394,1636428,Алтайскийкрай,8,3,9,9,6,False
395,1636434,Алтайскийкрай,24,19,19,18,24,False
396,1636445,Алтайскийкрай,14,12,7,7,6,False
397,1636451,Алтайскийкрай,11,9,17,11,11,False
398,1636456,Алтайскийкрай,102,112,85,88,76,False
399,1636468,Алтайскийкрай,20,16,12,18,12,False
400,1636472,Алтайскийкрай,10,10,7,11,11,False
401,1636474,Алтайскийкрай,9,5,5,4,5,False
402,1636480,Алтайскийкрай,11,5,11,13,4,False
403,1636491,Алтайскийкрай,12,5,4,8,6,False
404,1637407,Алтайскийкрай,7,5,4,7,5,False
405,1637412,Алтайскийкрай,1,1,4,3,2,False
406,1637417,Алтайскийкрай,6,9,8,5,3,False
407,1637422,Алтайскийкрай,4,7,1,5,3,False
408,1637435,Алтайскийкрай,8,4,8,7,3,False
409,1637440,Алтайскийкрай,3,2,2,3,1,False
410,1637446,Алтайскийкрай,11,6,5,3,5,False
411,1637457,Алтайскийкрай,5,1,2,3,6,False
412,1637466,Алтайскийкрай,3,1,2,1,4,False
413,1637468,Алтайскийкрай,74,67,45,43,60,False
414,1637479,Алтайскийкрай,7,15,12,9,8,False
415,1637482,Алтайскийкрай,10,12,6,12,7,False
416,1638406,Алтайскийкрай,45,21,28,25,20,False
417,1638412,Алтайскийкрай,12,11,13,11,8,False
418,1638415,Алтайскийкрай,9,3,10,5,6,False
419,1638418,Алтайскийкрай,71,48,56,47,50,False
420,1638420,Алтайскийкрай,9,10,7,8,3,False
421,1638422,Алтайскийкрай,10,7,17,11,3,False
422,1638425,Алтайскийкрай,24,17,12,16,10,False
423,1638437,Алтайскийкрай,19,19,18,12,16,False
424,1638440,Алтайскийкрай,23,13,13,15,13,False
425,1638444,Алтайскийкрай,3,6,10,11,6,False
426,1638447,Алтайскийкрай,16,10,8,8,3,False
427,1638451,Алтайскийкрай,15,14,12,14,10,False
428,1638460,Алтайскийкрай,14,8,6,6,9,False
429,1638462,Алтайскийкрай,30,26,30,28,21,False
430,1638465,Алтайскийкрай,16,11,10,9,7,False
431,1638467,Алтайскийкрай,13,10,10,7,6,False
432,1638471,Алтайскийкрай,11,6,11,9,8,False
433,1640405,Алтайскийкрай,11,15,7,16,9,False
434,1640412,Алтайскийкрай,32,30,31,29,23,False
435,1640423,Алтайскийкрай,30,19,25,16,22,False
436,1640434,Алтайскийкрай,24,13,15,16,14,False
437,1640445,Алтайскийкрай,24,21,26,11,24,False
438,1640456,Алтайскийкрай,122,131,114,113,104,False
439,1640460,Алтайскийкрай,17,14,17,13,14,True
440,1640466,Алтайскийкрай,49,38,29,26,36,False
441,1640479,Алтайскийкрай,22,16,26,14,19,False
442,1641404,Алтайскийкрай,10,6,6,4,3,False
443,1641410,Алтайскийкрай,5,4,5,1,3,False
444,1641413,Алтайскийкрай,32,27,44,21,25,False
445,1641425,Алтайскийкрай,8,17,10,9,16,False
446,1642411,Алтайскийкрай,11,8,9,16,11,False
447,1642415,Алтайскийкрай,10,5,7,7,5,False
448,1642420,Алтайскийкрай,17,23,9,15,16,False
449,1642429,Алтайскийкрай,14,7,6,5,9,False
450,1642435,Алтайскийкрай,5,1,3,1,4,False
451,1642440,Алтайскийкрай,12,11,3,11,8,False
452,1642447,Алтайскийкрай,16,18,9,6,9,False
453,1642452,Алтайскийкрай,60,63,78,60,49,False
454,1642457,Алтайскийкрай,6,6,6,6,4,False
455,1642466,Алтайскийкрай,27,23,19,20,20,False
456,1642471,Алтайскийкрай,17,11,13,6,12,False
457,1642472,Алтайскийкрай,21,22,24,8,15,False
458,1643407,Алтайскийкрай,6,7,8,5,8,False
459,1643423,Алтайскийкрай,4,7,9,7,4,False
460,1643434,Алтайскийкрай,5,9,5,2,6,False
461,1643445,Алтайскийкрай,10,8,9,10,8,False
462,1643450,Алтайскийкрай,69,79,64,57,45,False
463,1643457,Алтайскийкрай,12,8,5,1,6,False
464,1643470,Алтайскийкрай,21,6,10,13,5,False
465,1643481,Алтайскийкрай,14,7,6,5,6,False
466,1644424,Алтайскийкрай,15,14,22,25,11,False
467,1644436,Алтайскийкрай,7,9,3,3,4,False
468,1644447,Алтайскийкрай,26,19,20,19,14,False
469,1644450,Алтайскийкрай,14,10,8,12,7,False
470,1644481,Алтайскийкрай,61,38,41,37,34,False
471,1644492,Алтайскийкрай,14,12,11,10,14,False
472,1645410,Алтайскийкрай,19,17,21,17,17,False
473,1645420,Алтайскийкрай,9,9,7,11,7,False
474,1645423,Алтайскийкрай,6,3,6,4,4,True
475,1645428,Алтайскийкрай,17,21,20,30,26,False
476,1645430,Алтайскийкрай,21,17,17,20,19,False
477,1645433,Алтайскийкрай,19,25,15,17,13,False
478,1645438,Алтайскийкрай,2,3,2,7,6,False
479,1645442,Алтайскийкрай,18,11,9,9,11,False
480,1645445,Алтайскийкрай,7,10,6,7,7,False
481,1645460,Алтайскийкрай,65,52,40,49,36,False
482,1646407,Алтайскийкрай,38,26,31,33,19,False
483,1646409,Алтайскийкрай,14,14,14,,,False
484,1646422,Алтайскийкрай,6,4,10,5,4,False
485,1646440,Алтайскийкрай,14,6,11,5,6,False
486,1646455,Алтайскийкрай,15,18,27,33,33,False
487,1646466,Алтайскийкрай,53,67,78,53,59,False
488,1647406,Алтайскийкрай,16,31,25,19,17,False
489,1647415,Алтайскийкрай,12,7,11,14,8,False
490,1647424,Алтайскийкрай,5,3,5,1,4,False
491,1647430,Алтайскийкрай,20,20,16,10,18,False
492,1647436,Алтайскийкрай,26,14,14,12,12,False
493,1647442,Алтайскийкрай,35,22,37,34,28,False
494,1647448,Алтайскийкрай,26,29,26,27,19,False
495,1647451,Алтайскийкрай,2,8,10,5,14,False
496,1647456,Алтайскийкрай,51,65,64,53,46,False
497,1647459,Алтайскийкрай,25,24,13,28,16,False
498,1647462,Алтайскийкрай,13,13,11,15,10,False
