регион,МО,2017,2018,октмо
Волгоградская область,распопинское,1204,1186,
Волгоградская область,верхнекурмоярское,848,846,
Волгоградская область,выпасновское,949,943,
Волгоградская область,генераловское,1302,1288,
Волгоградская область,захаровское,635,620,
Волгоградская область,котельниковское,1417,1408,
Волгоградская область,красноярское,1701,1664,
Волгоградская область,майоровское,760,735,
Волгоградская область,нагавское,790,770,
Волгоградская область,наголенское,1026,1020,
Волгоградская область,нижнеяблочное,1414,1399,
Волгоградская область,пименочернянское,1445,1424,
Волгоградская область,попереченское,812,796,
Волгоградская область,пугачевское,715,716,
Волгоградская область,семиченское,915,881,
Волгоградская область,чилековское,1511,1486,
Волгоградская область,бурлукское,724,690,
Волгоградская область,коростинское,1108,1089,
Волгоградская область,купцовское,1239,1200,
Волгоградская область,лапшинское,925,921,
Волгоградская область,мирошниковское,1097,1087,
Волгоградская область,моисеевское,983,968,
Волгоградская область,мокроольховское,1480,1441,
Волгоградская область,попковское,1315,1305,
Волгоградская область,белогорское,757,755,
Волгоградская область,букановское,1148,1110,
Волгоградская область,глазуновское,1982,1952,
Волгоградская область,краснянское,1034,1036,
Волгоградская область,кумылженское,9263,9177,
Волгоградская область,поповское,1293,1259,
Волгоградская область,слащевское,1715,1672,
Волгоградская область,суляевское,1964,1930,
Волгоградская область,шакинское,666,655,
Волгоградская область,бахтияровское,847,844,
Волгоградская область,заплавненское,4339,4239,
Волгоградская область,степновское,1008,1028,
Волгоградская область,каршевитское,492,477,
Волгоградская область,колобовское,831,816,
Волгоградская область,рассветинское,685,683,
Волгоградская область,коммунаровское,1020,1001,
Волгоградская область,маляевское,1222,1227,
Волгоградская область,маякское,539,540,
Волгоградская область,покровское,1260,1212,
Волгоградская область,ильичевское,865,871,
Волгоградская область,царевское,2014,1990,
Волгоградская область,верхнереченское,894,859,
Волгоградская область,динамовское,889,868,
Волгоградская область,захоперское,606,590,
Волгоградская область,краснопольское,370,363,
Волгоградская область,кругловское,961,959,
Волгоградская область,луковское,524,509,
Волгоградская область,нехаевское,4317,4222,
Волгоградская область,нижнедолговское,464,453,
Волгоградская область,родничковское,896,874,
Волгоградская область,солонское,930,901,
Волгоградская область,тишанское,911,881,
Волгоградская область,упорниковское,1384,1341,
Волгоградская область,успенское,370,356,
Волгоградская область,барановское,1510,1473,
Волгоградская область,бережновское,1606,1572,
Волгоградская область,ильичевское,1569,1541,
Волгоградская область,левчуновское,1182,1180,
Волгоградская область,ленинское,2378,2354,99610460
Волгоградская область,новобытовское,725,706,
Волгоградская область,очкуровское,1227,1189,
Волгоградская область,политотдельское,1077,1048,
Волгоградская область,совхозское,1766,1732,
Волгоградская область,солодушинское,1502,1463,
Волгоградская область,степновское,1385,1357,
Волгоградская область,амовское,1149,1120,
Волгоградская область,березовское,1132,1124,
Волгоградская область,бочаровское,1223,1196,
Волгоградская область,галушкинское,1116,1098,
Волгоградская область,деминское,1475,1417,
Волгоградская область,краснокоротковское,838,829,
Волгоградская область,новокиевское,933,901,
Волгоградская область,панфиловское,2814,2753,
Волгоградская область,полевое,409,387,
Волгоградская область,староаннинское,1909,1889,41630404
Волгоградская область,тростянское,959,925,
Волгоградская область,филоновское,1795,1744,
Волгоградская область,черкесовское,1483,1436,
Волгоградская область,алексиковское,1818,1787,
Волгоградская область,верхнекардаильское,917,905,
Волгоградская область,двойновское,887,874,
Волгоградская область,дуплятское,926,920,
Волгоградская область,комсомольское,1241,1225,
Волгоградская область,красноармейское,1083,1063,
Волгоградская область,куликовское,1084,1067,
Волгоградская область,мирное,925,886,
Волгоградская область,сеомолотское,1059,1058,
Волгоградская область,хоперское,1031,993,
Волгоградская область,абганеровское,1631,1607,
Волгоградская область,аксайское,1459,1446,
Волгоградская область,антоновское,1551,1530,
Волгоградская область,васильевское,443,428,
Волгоградская область,громославское,516,518,
Волгоградская область,жутовское,922,908,
Волгоградская область,заливское,1420,1409,
Волгоградская область,ивановское,493,486,
Волгоградская область,ильменское,1086,1095,
Волгоградская область,ковалевское,917,922,
Волгоградская область,новоаксайское,701,685,
Волгоградская область,перегрузненское,645,647,
Волгоградская область,советское,436,431,
Волгоградская область,шебалиновское,1109,1083,
Волгоградская область,шелестовское,1188,1166,
Волгоградская область,гуровское,708,684,
Волгоградская область,гусевское,1486,1422,
Волгоградская область,зензеватское,1604,1556,
Волгоградская область,каменнобродское,515,513,
Волгоградская область,киреевское,984,950,
Волгоградская область,липовское,1042,1004,
Волгоградская область,нежинское,776,773,
Волгоградская область,октябрьское,726,708,
Волгоградская область,ольховское,5807,5701,
Волгоградская область,романовское,510,481,
Волгоградская область,рыбинское,701,689,
Волгоградская область,солодчинское,2030,2019,
Волгоградская область,ягодновское,734,718,
Волгоградская область,гончаровское,1701,1666,
Волгоградская область,заволжское,2662,2641,
Волгоградская область,кайсацкое,1982,1964,
Волгоградская область,калашниковское,2124,2107,
Волгоградская область,комсомольское,1263,1244,
Волгоградская область,венгеловское,525,529,
Волгоградская область,краснооктябрьское,2260,2222,
Волгоградская область,лиманное,953,1024,
Волгоградская область,приозерное,702,691,
Волгоградская область,революционное,1248,1254,
Волгоградская область,ромашковское,1343,1328,
Волгоградская область,савинское,4062,3961,
Волгоградская область,степновское,1149,1143,
Волгоградская область,эльтонское,3484,3419,
Волгоградская область,большесудаченское,962,940,
Волгоградская область,громковское,588,582,
Волгоградская область,ильменское,1067,1051,
Волгоградская область,козловское,454,452,
Волгоградская область,лемешкинское,1328,1286,
Волгоградская область,лопуховское,957,910,
Волгоградская область,матышевское,1544,1523,
Волгоградская область,осичковское,1100,1083,
Волгоградская область,сосновское,503,490,19620464
Волгоградская область,большечапурниковское,3813,3817,
Волгоградская область,дубовоовражное,2017,2025,
Волгоградская область,кировское,5458,5491,
Волгоградская область,наримановское,1923,1919,
Волгоградская область,приволжское,2018,2005,
Волгоградская область,привольненское,2244,2186,
Волгоградская область,рай,2763,2756,
Волгоградская область,цацинское,1382,1375,
Волгоградская область,червленовское,2861,2832,
Волгоградская область,бобровское,706,679,
Волгоградская область,большовское,1446,1440,
Волгоградская область,буеракпоповское,862,841,
Волгоградская область,горбатовское,452,439,
Волгоградская область,зимняцкое,2295,2248,
Волгоградская область,клетскопочтовское,1275,1258,
Волгоградская область,крутовское,660,646,
Волгоградская область,отрожкинское,612,604,
Волгоградская область,песчановское,741,729,
Волгоградская область,пронинское,1323,1315,
Волгоградская область,среднецарицынское,872,847,
Волгоградская область,теркинское,1045,1028,
Волгоградская область,трясиновское,920,907,
Волгоградская область,устьхоперское,1379,1364,
Волгоградская область,ахтубинское,2215,2293,
Волгоградская область,верхнепогроменское,2422,2407,
Волгоградская область,кировское,3164,3195,
Волгоградская область,клетское,3476,3458,
Волгоградская область,краснооктябрьское,1525,1531,
Волгоградская область,красное,2263,2287,
Волгоградская область,куйбышевское,3682,3723,
Волгоградская область,рахинское,2368,2349,
Волгоградская область,суходольское,1557,1555,
Волгоградская область,фрунзенское,4880,4977,
Волгоградская область,беляевское,372,370,
Волгоградская область,валуевское,1002,988,
Волгоградская область,верхневодянское,617,610,
Волгоградская область,гмелинское,2597,2534,
Волгоградская область,иловатское,1385,1329,
Волгоградская область,кановское,878,875,
Волгоградская область,колышкинское,482,471,
Волгоградская область,красноярское,614,597,
Волгоградская область,курнаевское,603,583,
Волгоградская область,лятошинское,555,556,
Волгоградская область,новоквасниковское,597,581,
Волгоградская область,новополтавское,1347,1326,
Волгоградская область,новотихоновское,585,554,
Волгоградская область,салтовское,771,754,
Волгоградская область,старополтавское,4159,4144,19620000
Волгоградская область,торгунское,729,706,
Волгоградская область,харьковское,920,903,
Волгоградская область,черебаевское,457,457,
Волгоградская область,ближнеосиновское,965,970,
Волгоградская область,верхнесолоновское,1048,1022,
Волгоградская область,добринское,912,891,
Волгоградская область,лысовское,1068,1043,
Волгоградская область,качалинское,1290,1280,
Волгоградская область,сысоевское,1195,1201,
Волгоградская область,нижнечирское,4204,4165,
Волгоградская область,лобакинское,1374,1377,
Волгоградская область,новомаксимовское,1988,1950,
Волгоградская область,нижнеосиновское,1107,1096,
Волгоградская область,акчернское,1327,1271,
Волгоградская область,беспаловское,476,470,
Волгоградская область,бесплемяновское,374,368,
Волгоградская область,большинское,611,601,
Волгоградская область,бубновское,1061,1039,
