Ссылка,Регион,Сельское поселение,oktmo,На что,Сумма(тыс р),Год ,примечание,,Сумма,Год,,,,Наименование,,нужно найти:,
,Ленинградская область,Плодовское,41639436,фельдшерско-акушерские пункты,5500,2015,,,,,,,,Республика Калмыкия,,,
,Ленинградская область,Вистинское,41621452,фельдшерско-акушерские пункты,1500,2016,,,,,,,,Республика Карелия,,,
,Ленинградская область,Селезёвское,41615476,фельдшерско-акушерские пункты,"1499,9",2016,,,,,,,,Республика Крым,,,
,Ленинградская область,Старопольское,41642436,фельдшерско-акушерские пункты,2500,2016,,,,,,,,Республика Марий Эл,,,
,Ленинградская область, Мельниковское,41639428,спортивные сооружения,"27005,3",2015,,,,,,,,Республика Мордовия,,,
,Ленинградская область,Плодовское,41639436,спортивные сооружения,"19918,4",2015,,,,,,,,Республика Саха (Якутия),,,
,Ленинградская область,Большеврудское,41606412,спортивные сооружения,"1079,5",2014,,,,,,,,Республика Северная Осетия — Алания,,,
,Ленинградская область,Большеврудское,41606412,спортивные сооружения,"27600,6",2015,,,,,,,,Республика Татарстан (Татарстан),,,
,Ленинградская область,Путиловское,41625440,спортивные сооружения,"13809,8",2015,,,,,,,,Республика Тыва,,,
,Ленинградская область,Волошовское,41633416,спортивные сооружения,"4634,7",2014,,,,,,,,Республика Хакасия,,,
,Ленинградская область,Большеврудское,41606412,спортивные сооружения,574,2015,,,,,,,,Ростовская область,не предполагают развитие рассматриваемой инфраструктуры в рамках программы,,
,Ленинградская область,Любанское,41648105,спортивные сооружения,10747,2014,,,,,,,,Рязанская область,,,
,Ленинградская область,Полянское,41615464,спортивные сооружения,1050,2015,,,,,,,,Самарская область,,,
,Ленинградская область,Большеврудское,41606412,спортивные сооружения,"593,7",2015,,,,,,,,,,,
,Ленинградская область,Алёховщинское,41627404,спортивные сооружения,"7390,4",2014,,,,,,,,Саратовская область,,,
,Ленинградская область,Низинское,41630408,учреждения культурно-досугового типа,72099,2015,культурно-досуговое -- дк/библиотека,,,,,,,Сахалинская область,,,
,Ленинградская область,Низинское,41630408,учреждения культурно-досугового типа,10500,2016,,,,,,,,Свердловская область,,,
,Ленинградская область,Большеврудское,41606412,учреждения культурно-досугового типа,21651,2015,,,,,,,,,,,
,Ленинградская область,Большеврудское,41606412,учреждения культурно-досугового типа,63763,2016,,,,,,,,Смоленская область,не предполагают развитие рассматриваемой инфраструктуры в рамках программы,,
,Ленинградская область,Большеврудское,41606412,учреждения культурно-досугового типа,"112542,6",2017,,,,,,,,Ставропольский край,,,
,Ленинградская область,Плодовское,41639436,учреждения культурно-досугового типа,1050,2014,библиотека,,,,,,,Тамбовская область,,,
,Ленинградская область,Плодовское,41639436,учреждения культурно-досугового типа,"14773,9",2015,,,,,,,,Тверская область,,,
,Ленинградская область,Володарское,41633408,учреждения культурно-досугового типа,"3725,1",2015,,,,,,,,Томская область,,,
,Ленинградская область,Шумское,41625450,учреждения культурно-досугового типа,2100,2015,,,,,,,,Тульская область,,,
,Ленинградская область,Пашское,41609444,учреждения культурно-досугового типа,6195,2014,,,,,,,,Тюменская область,,,
,Ленинградская область,Пашское,41609444,учреждения культурно-досугового типа,250,2015,,,,,,,,Удмуртская Республика,,,
,Ленинградская область,Лидское,41603460,учреждения культурно-досугового типа,149,2014,,,,,,,,Ульяновская область,,,
,Ленинградская область,Лидское,41603460,учреждения культурно-досугового типа,"2070,1",2015,,,,,,,,Хабаровский край,,,
,Ленинградская область,Мелегежское,41645408,учреждения культурно-досугового типа,2376,2014,,,,,,,,Ханты-Мансийский автономный округ — Югра,,,
,Ленинградская область,Мелегежское,41645408,учреждения культурно-досугового типа,576,2015,,,,,,,,Челябинская область,не предполагают,,
,Ленинградская область,Торковичское,41633478,учреждения культурно-досугового типа,4200,2015,,,,,,,,Чеченская Республика,,,
,Ленинградская область,Бегуницкое,41606404,учреждения культурно-досугового типа,10500,2015,,,,,,,,Чувашская Республика — Чувашия,,,
,Ленинградская область,Бегуницкое,41606404,учреждения культурно-досугового типа,52500,2016,,,,,,,,Чукотский автономный округ,не предполагают,,
