Ссылка,Регион,Сельское поселение,oktmo,На что,Сумма(тыс р),Год ,примечание,,Сумма,Год,,,,Наименование,,нужно найти:,
,Забайкальский край,Знаменское,76628425,фельдшерско-акушерские пункты,,2017,,,,,,,,,,,
,Забайкальский край,Улятуйское,76632455,фельдшерско-акушерские пункты,,2017,,,,,,,,,,,
,Забайкальский край,Курулгинское,76603427,спортивные сооружения,,2018,,,,,,,,,,,
,Забайкальский край,Кыринское,76624425,спортивные сооружения,,2017,,,,,,,,,,,
,Забайкальский край,Александрово-Заводское,76604412,спортивные сооружения,,2018,,,,,,,,,,,
,Забайкальский край,Усть-Оборское,76636457,спортивные сооружения,,2017,,,,,,,,,,,
,Забайкальский край,Беклемишевское,76650410,спортивные сооружения,,2018,,,,,,,,,,,
,Забайкальский край,Знаменское,76628425,спортивные сооружения,,2017,,,,,,,,,,,
,Забайкальский край,Даурское,76612425,спортивные сооружения,,2017,,,,,,,,,,,
,Забайкальский край,Казановское,76654420,спортивные сооружения,,2018,,,,,,,,,,,
,Забайкальский край,Нижнекокуйское,76606435,спортивные сооружения,,2018,,,,,,,,,,,
https://irkobl.ru/sites/agroline/Information_dlya_sht/sel_posel/,Иркутская область,пос. Усть-Уда,25646442,общеобразовательные организации,,2015,,,,,,,,,,,
,Иркутская область,п. Новочунка,25 650 419,общеобразовательные организации,,2015,,,,,,,,,,,
,Иркутская область,Средняя Муя,25 646 437,фельдшерско-акушерские пункты,6200,2014,,,,,,,,,,,
,Иркутская область,Усть-Малой,25646428,фельдшерско-акушерские пункты,6200,2014,,,,,,,,,,,
,Иркутская область,Балаганка,25646407,фельдшерско-акушерские пункты,6200,2014,,,,,,,,,,,
,Иркутская область,Владимир,25608410,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
,Иркутская область,Семеновское,25 608 425,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
,Иркутская область,Новочеремхово,25608422,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
,Иркутская область,Моисеевка,25608416,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
,Иркутская область,Услон,25610422,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
,Иркутская область,Перевоз,25602402,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
,Иркутская область,с. Аносово;,10654402,фельдшерско-акушерские пункты,,2016,,,,,,,,,,,
,Иркутская область,в с. Талая,32640432,фельдшерско-акушерские пункты,,2016,,,,,,,,,,,
,Иркутская область,п. Изыкан,25650422,фельдшерско-акушерские пункты,,2016,,,,,,,,,,,
,Иркутская область,с. Басалаевка,25610402,фельдшерско-акушерские пункты,,2016,,,,,,,,,,,
,Иркутская область,. Услон,25610422,фельдшерско-акушерские пункты,,2016,,,,,,,,,,,
,Иркутская область,д. Масляногорск,25 610 413,фельдшерско-акушерские пункты,,2016,,,,,,,,,,,
,Иркутская область,с. Перевоз,25602402,фельдшерско-акушерские пункты,,2016,,,,,,,,,,,
,Иркутская область,с. Новолетники,25610416,фельдшерско-акушерские пункты,,2016,,,,,,,,,,,
https://www.minagro.saratov.gov.ru/targetedprograms/index.php?SECTION_ID=222&ELEMENT_ID=3379,Саратовская область,с. Кочетное,63639410,,,,,,,,,,,,,,
,Саратовская область,с. Безымянное ,63650405,,,,,,,,,,,,,,
,Саратовская область, пос. Заречный,63637415,,,,,,,,,,,,,,
,Саратовская область, пос. Садовый ,63646446,,,,,,,,,,,,,,
,Саратовская область,с. Михайловка,63643460,,,,,,,,,,,,,,
,Саратовская область,с. Николаевка,63619440,,,,,,,,,,,,,,
,Саратовская область,с. Большой Мелик,63608412,,,,,,,,,,,,,,
,Саратовская область, с.Наумовка,63607415,,,,,,,,,,,,,,
,Саратовская область,с.Малая Быковка,63607415,,,,,,,,,,,,,,
,Саратовская область,с.Малый Кушум ,63607415,,,,,,,,,,,,,,
,Саратовская область,с.Большая Таволожка,63637460,,,,,,,,,,,,,,
,Саратовская область,с.Золотая Степь ,63644408,,,,,,,,,,,,,,
,Саратовская область,с.Первомайское,63648445,,,,,,,,,,,,,,
,Саратовская область,с. Макарово,63641444,,,,,,,,,,,,,,
,Саратовская область,с.Привольное,63639460,,,,,,,,,,,,,,
,Саратовская область,с. Питерка,63636446,,,,,,,,,,,,,,
,Саратовская область,с. Шиншиновка,63637450,,,,,,,,,,,,,,
,Курская область ,Локня,38640450,,,,,,,,,,,,,,
,Курская область ,галицина-кузнецовка,38608438141,,,,,,,,,,,,,,
,Курская область ,неварь ,38608438,,,,,,,,,,,,,,
,Курская область ,Средняя Ольшанка,38608438,,,,,,,,,,,,,,
,Курская область ,Сахаровка,38620428121,,,,,,,,,,,,,,
,Курская область ,Вереитиново 1-е,38612404,,,,,,,,,,,,,,
,Курская область ,3-е Уколово,38612456,,,,,,,,,,,,,,
,Курская область ,Мужланово,38612404211,,,,,,,,,,,,,,
,Курская область ,д. Дубовец,38612456116,,,,,,,,,,,,,,
,Красноярский край,с. Краснотуранск,4628413,,,,,,,,,,,,,,
,Красноярский край,с. Боготол,4608404,,,,,,,,,,,,,,
,Красноярский край,с. Агинское,4648402,,,,,,,,,,,,,,
,Красноярский край,п. Анаш,4641402,,,,,,,,,,,,,,
,Красноярский край,селе Преображенка,4603404,,,,,,,,,,,,,,
,Красноярский край,Агул,4619404,,,,,,,,,,,,,,
,Красноярский край,пос. Вольный,4604425,,,,,,,,,,,,,,
,Красноярский край,поселке Щетинкина,4630452,,,,,,,,,,,,,,
,Красноярский край,п. Усть-Тунгуска,4615402,,,,,,,,,,,,,,
,Красноярский край,д.Дрокино,4614437,,,,,,,,,,,,,,
,Красноярский край,селе Заледеево,4624403,,,,,,,,,,,,,,
,Курганская область,с Кислянское,37646424,,,,,,,,,,,,,,
,Курганская область,с Чаши,37610468,,,,,,,,,,,,,,
,Курганская область,-с. Пионерское;,37620444,,,,,,,,,,,,,,
,Курганская область,с. Сетовное,37620454,,,,,,,,,,,,,,
,Курганская область, с. Моршиха;,37620432,,,,,,,,,,,,,,
,Курганская область,с. Слевное;,37620462,,,,,,,,,,,,,,
,Курганская область,Вяткинского сельсоветов,37610416,,,,,,,,,,,,,,
,Курганская область,с. Казаркино,37620412,,,,,,,,,,,,,,
,Курганская область,с.Усть-Миасское,37610464,,,,,,,,,,,,,,
,Курганская область,деревнях Шахматова,37610416,,,,,,,,,,,,,,
,Курганская область,деревне Вороново,37610416,,,,,,,,,,,,,,
,Курганская область,с. Вяткино,37610416,,,,,,,,,,,,,,
,Курганская область,Успеновка,37628428,,,,,,,,,,,,,,
,Новосибирская область,,50636425,,,,,,,,,,,,,,
,Новосибирская область,,50656404,,,,,,,,,,,,,,
,Новосибирская область,Мамоновский сельсовет,50636425,,,,,,,,,,,,,,
,Новосибирская область,Никоновский сельсовет,50636428,,,,,,,,,,,,,,
,Новосибирская область,Резино ,50655422,,,,,,,,,,,,,,
,Новосибирская область,Филошенка ,50608449,,,,,,,,,,,,,,
,Новосибирская область,Ночка ,50608410,,,,,,,,,,,,,,
,Новосибирская область,Мироновка,50603416,,,,,,,,,,,,,,
,Новосибирская область,Петрушино,50603416,,,,,,,,,,,,,,
,Новосибирская область,поселке Ложок,50640402,,,,,,,,,,,,,,
,Новосибирская область,селе Северном,50644425,,,,,,,,,,,,,,
,Новосибирская область,,50652402,,,,,,,,,,,,,,
,Новосибирская область,,50606413,,,,,,,,,,,,,,
,Новосибирская область,поселке Октябрьский,50638404,,,,,,,,,,,,,,
