,region_name,value,oktmo,in_program
268,Алтайский край,1432.0,1604422,False
274,Алтайский край,1620.0,1604424,False
280,Алтайский край,1028.0,1604434,False
286,Алтайский край,2362.0,1604437,False
292,Алтайский край,2721.0,1604455,False
298,Алтайский край,3461.0,1604459,False
304,Алтайский край,1448.0,1604464,False
310,Алтайский край,6516.0,1604470,False
316,Алтайский край,1556.0,1604480,False
322,Алтайский край,3007.0,1604483,False
328,Алтайский край,1343.0,1604488,False
334,Алтайский край,1039.0,1604495,False
341,Алтайский край,32790.0,1604000,False
347,Алтайский край,11615.0,1605151,False
353,Алтайский край,6497.0,1605157,False
359,Алтайский край,415.0,1605406,False
365,Алтайский край,1356.0,1605420,False
371,Алтайский край,3275.0,1605436,False
377,Алтайский край,508.0,1605447,False
383,Алтайский край,945.0,1605452,False
389,Алтайский край,1073.0,1605456,False
395,Алтайский край,618.0,1605458,False
401,Алтайский край,993.0,1605461,False
407,Алтайский край,1225.0,1605483,False
413,Алтайский край,931.0,1605494,False
420,Алтайский край,29451.0,1605000,False
426,Алтайский край,4354.0,1606411,False
432,Алтайский край,1310.0,1606422,False
438,Алтайский край,295.0,1606430,False
444,Алтайский край,904.0,1606433,False
450,Алтайский край,825.0,1606444,False
456,Алтайский край,646.0,1606455,False
462,Алтайский край,1037.0,1606466,False
468,Алтайский край,570.0,1606470,False
474,Алтайский край,1035.0,1606477,False
481,Алтайский край,10976.0,1606000,False
487,Алтайский край,1134.0,1607403,False
493,Алтайский край,3654.0,1607405,False
499,Алтайский край,1141.0,1607411,False
505,Алтайский край,483.0,1607422,False
511,Алтайский край,954.0,1607433,False
517,Алтайский край,790.0,1607437,False
523,Алтайский край,261.0,1607444,False
529,Алтайский край,1147.0,1607455,False
536,Алтайский край,9564.0,1607000,False
542,Алтайский край,515.0,1608410,False
548,Алтайский край,872.0,1608414,False
554,Алтайский край,10534.0,1608421,False
560,Алтайский край,1589.0,1608423,False
566,Алтайский край,418.0,1608430,False
572,Алтайский край,1077.0,1608434,False
578,Алтайский край,455.0,1608445,False
584,Алтайский край,346.0,1608456,False
590,Алтайский край,687.0,1608467,False
596,Алтайский край,853.0,1608478,False
602,Алтайский край,1027.0,1608489,False
609,Алтайский край,18373.0,1608000,False
615,Алтайский край,582.0,1609411,False
621,Алтайский край,2039.0,1609422,False
627,Алтайский край,753.0,1609428,False
633,Алтайский край,5588.0,1609433,False
639,Алтайский край,1018.0,1609444,False
645,Алтайский край,2199.0,1609455,False
651,Алтайский край,972.0,1609466,False
657,Алтайский край,569.0,1609490,False
664,Алтайский край,13720.0,1609000,False
670,Алтайский край,227.0,1610411,False
676,Алтайский край,2884.0,1610422,False
682,Алтайский край,1327.0,1610433,False
688,Алтайский край,400.0,1610444,False
694,Алтайский край,960.0,1610466,False
700,Алтайский край,309.0,1610488,False
707,Алтайский край,6107.0,1610000,False
713,Алтайский край,1258.0,1611411,False
719,Алтайский край,1673.0,1611416,False
725,Алтайский край,1826.0,1611423,False
731,Алтайский край,6908.0,1611434,False
737,Алтайский край,882.0,1611445,False
743,Алтайский край,1300.0,1611456,False
749,Алтайский край,727.0,1611467,False
755,Алтайский край,529.0,1611469,False
761,Алтайский край,339.0,1611470,False
767,Алтайский край,1099.0,1611478,False
773,Алтайский край,598.0,1611486,False
