регион,название ,2014   ,2013   ,октмо
Архангельскаяобласть,березницкое,1491,1455,
Архангельскаяобласть,бестужевское,1020,988,
Архангельскаяобласть,дмитриевское,712,660,
Архангельскаяобласть,илезское,1086,972,
Архангельскаяобласть,киземское,2808,2698,
Архангельскаяобласть,лихачевское,596,573,
Архангельскаяобласть,лойгинское,1134,1059,
Архангельскаяобласть,малодорское,951,942,
Архангельскаяобласть,орловское,345,345,
Архангельскаяобласть,плосское,576,551,
Архангельскаяобласть,ростовско-минское,1381,1340,
Архангельскаяобласть,синицкое,500,484,
Архангельскаяобласть,строевское,1049,1039,
Архангельскаяобласть,череновское,514,477,
Архангельскаяобласть,шангальское,4219,4181,
Архангельскаяобласть,белогорское,761,741,
Архангельскаяобласть,двинское,1067,1046,
Архангельскаяобласть,емецкое,3030,2930,
Архангельскаяобласть,зачачьевское,1243,1190,
Архангельскаяобласть,кехотское,489,520,
Архангельскаяобласть,койдокурское,389,384,
Архангельскаяобласть,копачевское,679,642,
Архангельскаяобласть,леуновское,119,112,
Архангельскаяобласть,ломоносовское,634,611,
Архангельскаяобласть,луковецкое,2486,2379,
Архангельскаяобласть,матигорское,2558,2501,
Архангельскаяобласть,ракульское,1309,1278,
Архангельскаяобласть,светлозерское,1045,1008,
Архангельскаяобласть,селецкое,637,629,
Архангельскаяобласть,усть-пинежское,989,965,
Архангельскаяобласть,ухтостровское,601,573,
Архангельскаяобласть,хаврогорское,769,742,
Архангельскаяобласть,холмогорское,4453,4377,
Архангельскаяобласть,верхоледское,454,429,
Архангельскаяобласть,верхопаденьгское,684,652,
Архангельскаяобласть,никольское,1260,1236,
Архангельскаяобласть,ровдинское,1847,1796,
Архангельскаяобласть,сюмское,200,190,
Архангельскаяобласть,усть-паденьгское,1073,1034,
Архангельскаяобласть,федорогорское,1859,1842,11658436
Архангельскаяобласть,шеговарское,1593,1541,11658444
Вологодская область,вепсское национальное,1050,1027,
Вологодская область,борисовское,2939,2870,
Вологодская область,володинское,535,533,
Вологодская область,дубровское,380,391,
Вологодская область,пожарское,517,513,
Вологодская область,пяжозерское,1080,1037,
Вологодская область,санинское,663,660,41618460
Вологодская область,сиучское,181,196,
Вологодская область,тороповское,1350,1354,
Вологодская область,центральное,279,278,
Вологодская область,бабушкинское,4397,4412,
Вологодская область,березниковское,562,529,
Вологодская область,демьяновское,464,453,
Вологодская область,идское,430,389,41603460
Вологодская область,логдузское,508,498,
Вологодская область,миньковское,1754,1719,
Вологодская область,подболотное,1112,1079,
Вологодская область,рослятинское,2076,2022,
Вологодская область,тимановское,747,713,
Вологодская область,юркинское,548,520,
Вологодская область,антушевское,720,693,
Вологодская область,артюшинское,771,758,
Вологодская область,визьменское,418,390,
Вологодская область,глушковское,519,502,
Вологодская область,гулинское,582,566,
Вологодская область,енинское,445,416,99610460
Вологодская область,куностьское,1207,1186,
Вологодская область,панинское,303,297,
Вологодская область,шольское,1587,1518,
Вологодская область,андреевское,756,735,
Вологодская область,васильевское,431,436,
Вологодская область,ивановское,402,375,
Вологодская область,киснемское,439,427,
Вологодская область,коневское,730,698,
Вологодская область,липиноборское,3994,3921,
Вологодская область,пиксимовское,186,180,
Вологодская область,покровское,227,221,
Вологодская область,пореченское,252,237,
Вологодская область,роксомское,184,168,
Вологодская область,верхневарженское,224,207,
Вологодская область,верхнешарденгское,298,272,
Вологодская область,красавинское,1137,1146,
Вологодская область,ломоватское,1073,1030,
Вологодская область,марденгское,777,791,
