,region_name,value,in_program,year
172,Архангельская область,454.0,False,2014
173,Архангельская область,684.0,False,2014
174,Архангельская область,1260.0,False,2014
175,Архангельская область,1847.0,False,2014
176,Архангельская область,200.0,False,2014
177,Архангельская область,1073.0,False,2014
178,Архангельская область,1859.0,True,2014
179,Архангельская область,1593.0,True,2014
180,Вологодская область,1050.0,False,2014
181,Вологодская область,2939.0,False,2014
182,Вологодская область,535.0,False,2014
183,Вологодская область,380.0,False,2014
184,Вологодская область,517.0,False,2014
185,Вологодская область,1080.0,False,2014
186,Вологодская область,663.0,True,2014
187,Вологодская область,181.0,False,2014
188,Вологодская область,1350.0,False,2014
189,Вологодская область,279.0,False,2014
190,Вологодская область,4397.0,False,2014
191,Вологодская область,562.0,False,2014
192,Вологодская область,464.0,False,2014
193,Вологодская область,430.0,True,2014
194,Вологодская область,508.0,False,2014
195,Вологодская область,1754.0,False,2014
196,Вологодская область,1112.0,False,2014
197,Вологодская область,2076.0,False,2014
198,Вологодская область,747.0,False,2014
199,Вологодская область,548.0,False,2014
200,Вологодская область,720.0,False,2014
201,Вологодская область,771.0,False,2014
202,Вологодская область,418.0,False,2014
203,Вологодская область,519.0,False,2014
204,Вологодская область,582.0,False,2014
205,Вологодская область,445.0,True,2014
206,Вологодская область,1207.0,False,2014
207,Вологодская область,303.0,False,2014
208,Вологодская область,1587.0,False,2014
209,Вологодская область,756.0,False,2014
210,Вологодская область,431.0,False,2014
211,Вологодская область,402.0,False,2014
212,Вологодская область,439.0,False,2014
213,Вологодская область,730.0,False,2014
214,Вологодская область,3994.0,False,2014
215,Вологодская область,186.0,False,2014
216,Вологодская область,227.0,False,2014
217,Вологодская область,252.0,False,2014
218,Вологодская область,184.0,False,2014
219,Вологодская область,224.0,False,2014
220,Вологодская область,298.0,False,2014
221,Вологодская область,1137.0,False,2014
222,Вологодская область,1073.0,False,2014
223,Вологодская область,777.0,False,2014
224,Вологодская область,242.0,False,2014
225,Вологодская область,380.0,False,2014
226,Вологодская область,1201.0,False,2014
227,Вологодская область,345.0,False,2014
228,Вологодская область,306.0,False,2014
229,Вологодская область,383.0,False,2014
230,Вологодская область,3112.0,False,2014
231,Вологодская область,163.0,False,2014
232,Вологодская область,782.0,False,2014
233,Вологодская область,387.0,False,2014
234,Вологодская область,1400.0,False,2014
235,Вологодская область,1054.0,False,2014
236,Вологодская область,569.0,False,2014
237,Вологодская область,2545.0,False,2014
238,Вологодская область,5560.0,False,2014
239,Вологодская область,773.0,False,2014
240,Вологодская область,399.0,False,2014
241,Вологодская область,311.0,False,2014
242,Вологодская область,473.0,False,2014
243,Вологодская область,890.0,False,2014
244,Вологодская область,900.0,False,2014
245,Вологодская область,725.0,False,2014
246,Вологодская область,230.0,False,2014
247,Вологодская область,431.0,False,2014
248,Вологодская область,340.0,False,2014
249,Вологодская область,1946.0,False,2014
250,Вологодская область,438.0,False,2014
251,Вологодская область,986.0,False,2014
252,Вологодская область,2324.0,False,2014
253,Вологодская область,419.0,False,2014
254,Вологодская область,671.0,False,2014
255,Вологодская область,718.0,False,2014
256,Вологодская область,1127.0,False,2014
257,Вологодская область,787.0,False,2014
258,Вологодская область,1818.0,False,2014
259,Вологодская область,6191.0,True,2014
260,Вологодская область,6562.0,True,2014
261,Вологодская область,2992.0,False,2014
262,Вологодская область,2032.0,False,2014
263,Вологодская область,3495.0,False,2014
264,Вологодская область,3805.0,True,2014
265,Вологодская область,6153.0,False,2014
266,Вологодская область,2234.0,False,2014
267,Вологодская область,5389.0,True,2014
268,Вологодская область,4166.0,True,2014
269,Вологодская область,3108.0,True,2014
270,Вологодская область,4924.0,False,2014
271,Вологодская область,852.0,False,2014
272,Вологодская область,1904.0,False,2014
273,Вологодская область,2564.0,False,2014
274,Вологодская область,1592.0,False,2014
275,Вологодская область,3915.0,False,2014
276,Вологодская область,494.0,False,2014
277,Вологодская область,951.0,False,2014
278,Вологодская область,847.0,False,2014
279,Вологодская область,1368.0,False,2014
280,Вологодская область,680.0,False,2014
281,Вологодская область,2782.0,False,2014
282,Вологодская область,2478.0,False,2014
283,Вологодская область,1894.0,False,2014
284,Вологодская область,2332.0,False,2014
285,Вологодская область,1921.0,False,2014
286,Вологодская область,296.0,False,2014
287,Вологодская область,412.0,False,2014
288,Вологодская область,379.0,False,2014
289,Вологодская область,532.0,False,2014
290,Вологодская область,995.0,False,2014
291,Вологодская область,559.0,False,2014
292,Вологодская область,963.0,False,2014
293,Вологодская область,541.0,False,2014
294,Вологодская область,499.0,False,2014
295,Вологодская область,941.0,False,2014
296,Вологодская область,1518.0,False,2014
297,Вологодская область,1613.0,False,2014
298,Вологодская область,1198.0,False,2014
299,Вологодская область,698.0,False,2014
300,Вологодская область,1613.0,False,2014
301,Вологодская область,1392.0,False,2014
302,Вологодская область,651.0,False,2014
303,Вологодская область,963.0,True,2014
304,Вологодская область,3138.0,False,2014
305,Вологодская область,746.0,False,2014
306,Вологодская область,404.0,False,2014
307,Вологодская область,1115.0,False,2014
308,Вологодская область,722.0,False,2014
309,Вологодская область,693.0,False,2014
310,Вологодская область,1598.0,False,2014
311,Вологодская область,1251.0,False,2014
312,Вологодская область,689.0,False,2014
313,Вологодская область,1251.0,True,2014
314,Вологодская область,589.0,False,2014
315,Вологодская область,785.0,False,2014
316,Вологодская область,756.0,False,2014
317,Вологодская область,661.0,False,2014
318,Вологодская область,2020.0,False,2014
319,Вологодская область,731.0,False,2014
320,Вологодская область,5882.0,False,2014
321,Вологодская область,534.0,False,2014
322,Вологодская область,923.0,False,2014
323,Вологодская область,589.0,False,2014
324,Вологодская область,887.0,False,2014
325,Вологодская область,846.0,False,2014
326,Вологодская область,555.0,False,2014
327,Вологодская область,558.0,False,2014
328,Вологодская область,1394.0,False,2014
329,Вологодская область,745.0,False,2014
330,Вологодская область,597.0,False,2014
331,Вологодская область,572.0,False,2014
332,Вологодская область,526.0,False,2014
333,Вологодская область,1029.0,False,2014
334,Вологодская область,1062.0,False,2014
335,Вологодская область,379.0,False,2014
336,Вологодская область,3952.0,False,2014
337,Вологодская область,518.0,False,2014
338,Вологодская область,1163.0,True,2014
339,Вологодская область,650.0,False,2014
340,Вологодская область,1112.0,False,2014
341,Вологодская область,612.0,False,2014
342,Вологодская область,658.0,False,2014
343,Вологодская область,8052.0,False,2014
344,Вологодская область,673.0,False,2014
345,Вологодская область,622.0,False,2014
346,Вологодская область,1086.0,False,2014
347,Вологодская область,795.0,False,2014
348,Вологодская область,559.0,False,2014
349,Вологодская область,1639.0,False,2014
350,Вологодская область,3007.0,False,2014
351,Вологодская область,5197.0,False,2014
352,Вологодская область,737.0,False,2014
353,Вологодская область,1138.0,False,2014
354,Вологодская область,576.0,False,2014
355,Вологодская область,515.0,False,2014
356,Вологодская область,956.0,False,2014
357,Вологодская область,4073.0,False,2014
358,Вологодская область,1092.0,False,2014
359,Вологодская область,1085.0,False,2014
360,Вологодская область,915.0,False,2014
361,Вологодская область,619.0,False,2014
362,Вологодская область,374.0,False,2014
363,Вологодская область,974.0,False,2014
364,Вологодская область,944.0,False,2014
365,Вологодская область,877.0,False,2014
366,Вологодская область,2050.0,False,2014
367,Вологодская область,306.0,False,2014
368,Вологодская область,326.0,True,2014
369,Вологодская область,667.0,False,2014
